Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,
1,1000,0.2,0.2,50,1000,1766,1414,726,50034.35547,0.01451,
2,1000,0.2,0.2,50,1000,1722,1374,704,49342.28516,0.014268,
3,1000,0.2,0.2,50,1000,1748,1361,701,48575.25,0.014431,
4,1000,0.2,0.2,50,1000,1744,1392,727,49805.78516,0.014597,
5,1000,0.2,0.2,50,1000,1726,1406,745,51082.23438,0.014584,0.0143487
6,1000,0.2,0.2,50,1000,1755,1403,723,50237.21094,0.014392,
7,1000,0.2,0.2,50,1000,1791,1408,719,51109.19531,0.014068,
8,1000,0.2,0.2,50,1000,1762,1420,726,51331.90625,0.014143,
9,1000,0.2,0.2,50,1000,1778,1433,696,49177.70313,0.014153,
10,1000,0.2,0.2,50,1000,1772,1419,723,50414.82031,0.014341,
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,
1,1000,0.2,0.2,50,1000,1766,1414,726,50034.35547,0.01451,
2,1000,0.2,0.2,50,1000,1722,1374,704,49342.28516,0.014268,
3,1000,0.2,0.2,50,1000,1748,1361,701,48575.25,0.014431,
4,1000,0.2,0.2,50,1000,1744,1392,727,49805.78516,0.014597,
5,1000,0.2,0.2,50,1000,1726,1406,745,51082.23438,0.014584,0.0143487
6,1000,0.2,0.2,50,1000,1755,1403,723,50237.21094,0.014392,
7,1000,0.2,0.2,50,1000,1791,1408,719,51109.19531,0.014068,
8,1000,0.2,0.2,50,1000,1762,1420,726,51331.90625,0.014143,
9,1000,0.2,0.2,50,1000,1778,1433,696,49177.70313,0.014153,
10,1000,0.2,0.2,50,1000,1772,1419,723,50414.82031,0.014341,
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,
1,1000,0.2,0.2,50,1000,1766,1414,726,50034.35547,0.01451,
2,1000,0.2,0.2,50,1000,1722,1374,704,49342.28516,0.014268,
3,1000,0.2,0.2,50,1000,1748,1361,701,48575.25,0.014431,
4,1000,0.2,0.2,50,1000,1744,1392,727,49805.78516,0.014597,
5,1000,0.2,0.2,50,1000,1726,1406,745,51082.23438,0.014584,0.0143487
6,1000,0.2,0.2,50,1000,1755,1403,723,50237.21094,0.014392,
7,1000,0.2,0.2,50,1000,1791,1408,719,51109.19531,0.014068,
8,1000,0.2,0.2,50,1000,1762,1420,726,51331.90625,0.014143,
9,1000,0.2,0.2,50,1000,1778,1433,696,49177.70313,0.014153,
10,1000,0.2,0.2,50,1000,1772,1419,723,50414.82031,0.014341,
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,
1,1000,0.2,0.2,50,1000,1766,1414,726,50034.35547,0.01451,
2,1000,0.2,0.2,50,1000,1722,1374,704,49342.28516,0.014268,
3,1000,0.2,0.2,50,1000,1748,1361,701,48575.25,0.014431,
4,1000,0.2,0.2,50,1000,1744,1392,727,49805.78516,0.014597,0.0143487
5,1000,0.2,0.2,50,1000,1726,1406,745,51082.23438,0.014584,
6,1000,0.2,0.2,50,1000,1755,1403,723,50237.21094,0.014392,
7,1000,0.2,0.2,50,1000,1791,1408,719,51109.19531,0.014068,
8,1000,0.2,0.2,50,1000,1762,1420,726,51331.90625,0.014143,
9,1000,0.2,0.2,50,1000,1778,1433,696,49177.70313,0.014153,
10,1000,0.2,0.2,50,1000,1772,1419,723,50414.82031,0.014341,
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,
1,1000,0.2,0.2,50,1000,1766,1414,726,50034.35547,0.01451,
2,1000,0.2,0.2,50,1000,1722,1374,704,49342.28516,0.014268,
3,1000,0.2,0.2,50,1000,1748,1361,701,48575.25,0.014431,
4,1000,0.2,0.2,50,1000,1744,1392,727,49805.78516,0.014597,
5,1000,0.2,0.2,50,1000,1726,1406,745,51082.23438,0.014584,0.0143487
6,1000,0.2,0.2,50,1000,1755,1403,723,50237.21094,0.014392,
7,1000,0.2,0.2,50,1000,1791,1408,719,51109.19531,0.014068,
8,1000,0.2,0.2,50,1000,1762,1420,726,51331.90625,0.014143,
9,1000,0.2,0.2,50,1000,1778,1433,696,49177.70313,0.014153,
10,1000,0.2,0.2,50,1000,1772,1419,723,50414.82031,0.014341,
