Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,AVERAGE
1,1000,0.1,0.2,50,1000,1517,1374,789,48955.87109,0.016117,
2,1000,0.1,0.2,50,1000,1555,1397,760,50650.63672,0.015005,
3,1000,0.1,0.2,50,1000,1618,1440,770,50254.41016,0.015322,
4,1000,0.1,0.2,50,1000,1563,1387,777,51758.01953,0.015012,
5,1000,0.1,0.2,50,1000,1588,1419,809,50822.75,0.015918,
6,1000,0.1,0.2,50,1000,1532,1391,790,50089.25391,0.015772,0.0155373
7,1000,0.1,0.2,50,1000,1592,1409,792,50728.31641,0.015613,
8,1000,0.1,0.2,50,1000,1548,1413,781,50734.79688,0.015394,
9,1000,0.1,0.2,50,1000,1536,1387,766,48298.75781,0.01586,
10,1000,0.1,0.2,50,1000,1521,1374,751,48892.09766,0.01536,
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,
1,1000,0.2,0.2,50,1000,1766,1414,726,50034.35547,0.01451,
2,1000,0.2,0.2,50,1000,1722,1374,704,49342.28516,0.014268,
3,1000,0.2,0.2,50,1000,1748,1361,701,48575.25,0.014431,
4,1000,0.2,0.2,50,1000,1744,1392,727,49805.78516,0.014597,
5,1000,0.2,0.2,50,1000,1726,1406,745,51082.23438,0.014584,
6,1000,0.2,0.2,50,1000,1755,1403,723,50237.21094,0.014392,0.0143487
7,1000,0.2,0.2,50,1000,1791,1408,719,51109.19531,0.014068,
8,1000,0.2,0.2,50,1000,1762,1420,726,51331.90625,0.014143,
9,1000,0.2,0.2,50,1000,1778,1433,696,49177.70313,0.014153,
10,1000,0.2,0.2,50,1000,1772,1419,723,50414.82031,0.014341,
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,
1,1000,0.4,0.2,50,1000,2255,1328,550,51271.17578,0.010727,
2,1000,0.4,0.2,50,1000,2151,1333,548,47132.64453,0.011627,
3,1000,0.4,0.2,50,1000,2150,1286,538,48816.83203,0.011021,
4,1000,0.4,0.2,50,1000,2175,1307,555,50504.07813,0.010989,
5,1000,0.4,0.2,50,1000,2207,1338,544,49798.55859,0.010924,
6,1000,0.4,0.2,50,1000,2314,1364,548,50955.90234,0.010754,0.0109477
7,1000,0.4,0.2,50,1000,2271,1347,545,49915.75391,0.010918,
8,1000,0.4,0.2,50,1000,2237,1364,573,51925.84375,0.011035,
9,1000,0.4,0.2,50,1000,2148,1292,531,48558.49219,0.010935,
10,1000,0.4,0.2,50,1000,2256,1343,541,51291.92578,0.010547,
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,
1,1000,0.6,0.2,50,1000,2819,1131,330,51584.68359,0.006397,
2,1000,0.6,0.2,50,1000,2795,1109,316,50802.31641,0.00622,
3,1000,0.6,0.2,50,1000,2684,1092,301,48372.58594,0.006223,
4,1000,0.6,0.2,50,1000,2837,1154,342,52405.99609,0.006526,
5,1000,0.6,0.2,50,1000,2734,1090,334,50648.67578,0.006594,0.0062756
6,1000,0.6,0.2,50,1000,2787,1113,329,51751.74219,0.006357,
7,1000,0.6,0.2,50,1000,2750,1103,308,50901.88281,0.006051,
8,1000,0.6,0.2,50,1000,2709,1048,323,49737.84766,0.006494,
9,1000,0.6,0.2,50,1000,2732,1032,296,49566.10938,0.005972,
10,1000,0.6,0.2,50,1000,2795,1094,298,50321.44141,0.005922,
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,
1,1000,0.8,0.2,50,1000,3143,652,96,49967.86719,0.001921,
2,1000,0.8,0.2,50,1000,3148,647,104,50242.6875,0.00207,
3,1000,0.8,0.2,50,1000,3218,620,91,51005.72266,0.001784,0.001959
4,1000,0.8,0.2,50,1000,3061,640,98,48777.01563,0.002009,
5,1000,0.8,0.2,50,1000,3230,641,115,51301.83203,0.002242,
6,1000,0.8,0.2,50,1000,3182,656,112,51404.50391,0.002179,
7,1000,0.8,0.2,50,1000,3105,625,91,49701.75781,0.001831,
8,1000,0.8,0.2,50,1000,3208,626,95,50667.69922,0.001875,
9,1000,0.8,0.2,50,1000,3125,605,96,49289.49219,0.001948,
10,1000,0.8,0.2,50,1000,3181,613,87,50253.92969,0.001731,
