Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,
1,1000,0.1,0.2,50,1000,1900,1707,998,47970.73438,0.020804,
2,1000,0.1,0.2,50,1000,2073,1862,999,50632.79688,0.01973,
3,1000,0.1,0.2,50,1000,1977,1773,999,49432.3125,0.020209,
4,1000,0.1,0.2,50,1000,1971,1764,999,50319.91797,0.019853,
5,1000,0.1,0.2,50,1000,1883,1695,999,50460.76563,0.019798,0.0199787
6,1000,0.1,0.2,50,1000,1937,1780,999,49704.94922,0.020099,
7,1000,0.1,0.2,50,1000,1950,1739,999,50928.00391,0.019616,
8,1000,0.1,0.2,50,1000,1878,1698,999,51368.60547,0.019448,
9,1000,0.1,0.2,50,1000,1978,1754,999,50500.91016,0.019782,
10,1000,0.1,0.2,50,1000,1894,1717,999,48855.40234,0.020448,
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,
1,1000,0.2,0.2,50,1000,2413,1917,999,50234.40625,0.019887,
2,1000,0.2,0.2,50,1000,2507,2006,999,49508.31641,0.020178,
3,1000,0.2,0.2,50,1000,2460,1958,999,49756.86328,0.020078,
4,1000,0.2,0.2,50,1000,2455,1994,999,49861.1875,0.020036,
5,1000,0.2,0.2,50,1000,2359,1896,999,50071.26563,0.019952,0.0200782
6,1000,0.2,0.2,50,1000,2314,1885,999,49661.82031,0.020116,
7,1000,0.2,0.2,50,1000,2587,2053,999,49772.19922,0.020071,
8,1000,0.2,0.2,50,1000,2352,1892,997,49613.50391,0.020095,
9,1000,0.2,0.2,50,1000,2529,2021,999,50083.6875,0.019947,
10,1000,0.2,0.2,50,1000,2301,1878,999,48916.71484,0.020422,
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,
1,1000,0.4,0.2,50,1000,4213,2532,999,48740.13281,0.020496,
2,1000,0.4,0.2,50,1000,4014,2422,997,51347.6875,0.019417,
3,1000,0.4,0.2,50,1000,4611,2737,998,50529.97656,0.019751,
4,1000,0.4,0.2,50,1000,3940,2403,999,50048.00781,0.019961,
5,1000,0.4,0.2,50,1000,14105,5709,596,49574.80469,0.012022,
6,1000,0.4,0.2,50,1000,4140,2498,999,51666.44531,0.019336,0.0175273
7,1000,0.4,0.2,50,1000,8285,3926,876,49842.90234,0.017575,
8,1000,0.4,0.2,50,1000,4051,2430,998,49086.9375,0.020331,
9,1000,0.4,0.2,50,1000,4223,2523,999,50831.82813,0.019653,
10,1000,0.4,0.2,50,1000,19013,7207,321,47690.87109,0.006731,
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,
1,1000,0.6,0.2,50,1000,17636,7042,972,50549.83984,0.019229,
2,1000,0.6,0.2,50,1000,21425,8477,960,49865.36719,0.019252,
3,1000,0.6,0.2,50,1000,19839,7938,950,48867.96484,0.01944,
4,1000,0.6,0.2,50,1000,17949,7162,921,49671.80078,0.018542,
5,1000,0.6,0.2,50,1000,19671,7883,943,51388.68359,0.01835,0.0191221
6,1000,0.6,0.2,50,1000,15926,6383,986,50405.70313,0.019561,
7,1000,0.6,0.2,50,1000,19078,7502,946,51374.67969,0.018414,
8,1000,0.6,0.2,50,1000,20040,7932,995,50291.37109,0.019785,
9,1000,0.6,0.2,50,1000,16844,6729,996,50982.02734,0.019536,
10,1000,0.6,0.2,50,1000,15578,6224,966,50544.51563,0.019112,
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,
1,1000,0.8,0.2,50,1000,22582,4597,435,47777.09375,0.009105,
2,1000,0.8,0.2,50,1000,23200,4690,413,48491.89063,0.008517,
3,1000,0.8,0.2,50,1000,23803,4680,470,50090.23438,0.009383,
4,1000,0.8,0.2,50,1000,23420,4727,451,49722.84766,0.00907,
5,1000,0.8,0.2,50,1000,22995,4607,418,48584.10547,0.008604,0.0091707
6,1000,0.8,0.2,50,1000,23764,4831,443,50421.73047,0.008786,
7,1000,0.8,0.2,50,1000,23646,4736,493,50556.38281,0.009751,
8,1000,0.8,0.2,50,1000,23940,4865,483,50828.30859,0.009503,
9,1000,0.8,0.2,50,1000,22930,4614,459,48577.60547,0.009449,
10,1000,0.8,0.2,50,1000,23821,4707,477,50003.30078,0.009539,
