Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,
1,1000,0.8,0.2,50,1000,22582,4597,435,47777.09375,0.009105,
2,1000,0.8,0.2,50,1000,23200,4690,413,48491.89063,0.008517,
3,1000,0.8,0.2,50,1000,23803,4680,470,50090.23438,0.009383,
4,1000,0.8,0.2,50,1000,23420,4727,451,49722.84766,0.00907,
5,1000,0.8,0.2,50,1000,22995,4607,418,48584.10547,0.008604,0.0091707
6,1000,0.8,0.2,50,1000,23764,4831,443,50421.73047,0.008786,
7,1000,0.8,0.2,50,1000,23646,4736,493,50556.38281,0.009751,
8,1000,0.8,0.2,50,1000,23940,4865,483,50828.30859,0.009503,
9,1000,0.8,0.2,50,1000,22930,4614,459,48577.60547,0.009449,
10,1000,0.8,0.2,50,1000,23821,4707,477,50003.30078,0.009539,
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,
1,1000,0.8,0.2,50,1000,120530,9114,134,51012.72656,0.002627,
2,1000,0.8,0.2,50,1000,119833,9059,126,50618.44141,0.002489,
3,1000,0.8,0.2,50,1000,121596,9162,119,50974.16016,0.002335,
4,1000,0.8,0.2,50,1000,121492,9212,117,51209.49609,0.002285,
5,1000,0.8,0.2,50,1000,114348,8779,155,49472.45313,0.003133,0.0026782
6,1000,0.8,0.2,50,1000,118340,9035,128,50570.77344,0.002531,
7,1000,0.8,0.2,50,1000,115249,8741,135,49816.91016,0.00271,
8,1000,0.8,0.2,50,1000,116580,8933,151,49928.53516,0.003024,
9,1000,0.8,0.2,50,1000,116718,8829,132,49934.09375,0.002643,
10,1000,0.8,0.2,50,1000,116688,8896,149,49588.51563,0.003005,
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,
1,1000,0.8,0.2,50,1000,232580,9048,105,50619.05078,0.002074,
2,1000,0.8,0.2,50,1000,221707,8691,99,48572.94531,0.002038,
3,1000,0.8,0.2,50,1000,224030,8625,105,48023.69141,0.002186,
4,1000,0.8,0.2,50,1000,225245,8759,92,48872.86328,0.001882,
5,1000,0.8,0.2,50,1000,221126,8761,117,49352.78125,0.002371,0.0023207
6,1000,0.8,0.2,50,1000,228182,9008,119,50411.16797,0.002361,
7,1000,0.8,0.2,50,1000,222399,8760,126,49904.92969,0.002525,
8,1000,0.8,0.2,50,1000,226176,8950,128,50096.125,0.002555,
9,1000,0.8,0.2,50,1000,217379,8493,123,47937.78125,0.002566,
10,1000,0.8,0.2,50,1000,227576,8987,133,50214.16797,0.002649,
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,
1,1000,0.8,0.2,50,1000,441468,9107,98,51020.18359,0.001921,
2,1000,0.8,0.2,50,1000,435711,9090,87,50798.52344,0.001713,
3,1000,0.8,0.2,50,1000,444605,9004,76,50136.22266,0.001516,
4,1000,0.8,0.2,50,1000,422217,8710,73,48612.59375,0.001502,
5,1000,0.8,0.2,50,1000,426275,9005,103,50720.20703,0.002031,0.001948
6,1000,0.8,0.2,50,1000,431613,9025,104,50499.36719,0.002059,
7,1000,0.8,0.2,50,1000,424648,8896,111,50681.98438,0.00219,
8,1000,0.8,0.2,50,1000,431708,9112,114,50920.90625,0.002239,
9,1000,0.8,0.2,50,1000,430545,8944,107,50516.98438,0.002118,
10,1000,0.8,0.2,50,1000,414563,8739,107,48835.28516,0.002191,
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,
1,1000,0.8,0.2,50,1000,843047,8794,96,49233.29297,0.00195,
2,1000,0.8,0.2,50,1000,866640,9016,87,50380.34375,0.001727,
3,1000,0.8,0.2,50,1000,891241,8868,76,49388.51953,0.001539,
4,1000,0.8,0.2,50,1000,872755,8879,73,49532.81641,0.001474,0.0019504
5,1000,0.8,0.2,50,1000,871442,9070,104,51080.5625,0.002036,
6,1000,0.8,0.2,50,1000,849907,8781,101,49120.53906,0.002056,
7,1000,0.8,0.2,50,1000,827581,8688,109,49508.87891,0.002202,
8,1000,0.8,0.2,50,1000,844777,8974,113,50152.51953,0.002253,
9,1000,0.8,0.2,50,1000,891823,9201,108,51966.89063,0.002078,
10,1000,0.8,0.2,50,1000,821363,8668,106,48422.875,0.002189,
